ID,HT-IL,FL-IL,HT-MX
PRE0673_1,153.45,80.68,NA
12EF2002_1,139.21,77.59,142.74
12EF2003_1,125.43,76.6,137.61
12EF2005_1,125.43,74.63,140.12
12EF2006_1,132.32,74.63,135.04
12EF2008_1,136.26,74.63,137.55
12EF2009_1,139.21,74.63,135.62
12EF2010_1,119.52,71.67,137.43
12EF2012_1,155.95,82.53,135.31
12EF2013_1,134.29,73.64,131.27
12EF2014_1,121.49,66.73,134.86
12EF2015_1,135.27,71.67,134.86
12EF2016_1,126.41,73.64,136.42
12EF2017_1,129.37,70.68,129.9
12EF2019_1,125.43,71.67,128.7
12EF2020_1,157.92,82.53,132.42
12EF2021_1,128.38,71.67,130.48
12EF2022_1,130.35,71.67,132.3
12EF2023_1,135.27,73.64,127.34
12EF2024_1,153.98,82.53,130.17
12EF2025_1,129.37,74.63,126.13
12EF2026_1,130.35,73.64,127.91
12EF2027_1,126.41,71.67,127.91
12EF2028_1,122.48,77.59,125.85
12EF2029_1,133.31,73.64,129.73
12EF2030_1,140.2,73.64,137.88
12EF2031_1,133.31,70.68,123.56
12EF2032_1,98.85,66.73,123.56
12EF2033_1,139.21,72.65,127.28
12EF2034_1,136.26,70.68,127.16
12EF2035_1,155.95,75.61,135.31
12EF2036_1,126.41,73.64,135.31
12EF2037_1,98.85,66.73,122.78
12EF2038_1,137.24,73.64,124.59
12EF2039_1,149.06,78.58,132.75
12EF2040_1,159.89,80.55,122.47
12EF2042_1,132.32,74.63,122.03
12EF2043_1,94.91,66.73,117.06
12EF2044_1,145.12,78.58,130.18
12EF2045_1,132.32,70.68,115.86
12EF2046_1,149.06,75.61,127.61
12EF2047_1,97.86,66.73,125.04
12EF2048_1,150.04,78.58,116.91
12EF2049_1,99.83,66.73,108.16
SC0673_1,99.41,66.98,
12EF2052_1,92.48,67.01,105.68
12EF2053_1,95.44,67.01,122.47
12EF2054_1,93.47,67.01,125.04
12EF2055_1,155.49,75.89,115.58
12EF2056_1,136.79,77.87,117.64
12EF2058_1,122.02,71.94,130.18
12EF2059_1,96.42,67.01,122.03
12EF2060_1,94.45,67.01,118.43
12EF2061_1,150.57,78.85,122.47
12EF2062_1,99.37,67.01,124.59
12EF2063_1,95.44,67.01,122.78
12EF2064_1,151.56,78.85,124.72
12EF2065_1,129.9,73.92,135.31
12EF2066_1,126.94,70.96,135.31
12EF2067_1,132.85,70.96,122.2
12EF2068_1,120.05,67.01,126.92
12EF2069_1,129.9,71.94,123.56
12EF2071_1,131.86,71.94,137.88
12EF2072_1,134.82,75.89,129.73
12EF2073_1,121.03,67.01,129.73
12EF2074_1,123.99,70.96,125.85
12EF2075_1,133.83,73.92,129.85
12EF2076_1,131.86,71.94,126.13
12EF2077_1,131.86,76.88,130.17
12EF2078_1,125.96,71.94,123.66
12EF2079_1,130.88,71.94,132.3
12EF2080_1,150.57,78.85,130.48
12EF2081_1,150.57,82.8,132.42
12EF2082_1,125.96,71.94,132.05
12EF2083_1,144.66,82.8,132.74
12EF2085_1,128.91,71.94,133.08
12EF2086_1,130.88,71.94,134.86
12EF2087_1,121.03,71.94,134.86
12EF2088_1,149.59,78.85,131.27
12EF2089_1,150.57,80.83,135.31
12EF2090_1,149.59,78.85,135.31
12EF2091_1,132.85,74.91,133.55
12EF2092_1,143.68,70.96,137.55
12EF2093_1,135.8,71.94,137.19
12EF2094_1,143.68,78.85,133.84
12EF2095_1,133.83,73.92,138.21
12EF2096_1,150.57,78.85,140.12
12EF2097_1,122.02,71.94,137.61
12EF2098_1,148.6,78.85,137.61
12EF2099_1,145.65,82.8,144.89
12EF2102_1,150,78.89,142.74
12EF2103_1,150,78.89,140.17
12EF2104_1,126.37,73.95,133.93
12EF2105_1,125.38,73.95,138.18
12EF2106_1,131.29,74.94,135.04
12EF2107_1,128.34,73.95,131.36
12EF2108_1,123.41,67.04,137.19
12EF2109_1,148.03,78.89,137.55
12EF2110_1,137.2,73.95,136.16
12EF2111_1,134.24,71.97,132.47
12EF2114_1,141.13,73.95,130.98
12EF2115_1,97.82,67.04,134.86
12EF2116_1,105.69,67.04,129.9
12EF2117_1,146.06,80.86,126.23
12EF2118_1,129.32,73.95,132.74
12EF2119_1,152.95,77.9,132.05
12EF2120_1,126.37,74.94,132.42
12EF2121_1,126.37,71.97,130.48
12EF2122_1,130.31,73.95,128.41
12EF2123_1,98.8,67.04,123.66
12EF2124_1,126.37,71.97,130.17
12EF2125_1,102.74,67.04,129.85
12EF2126_1,140.15,73.95,127.91
12EF2127_1,101.75,67.04,125.85
12EF2128_1,104.71,67.04,129.73
12EF2129_1,103.72,67.04,137.88
12EF2131_1,148.03,72.96,127.6
12EF2132_1,99.78,67.04,123.56
12EF2133_1,145.07,72.96,127.28
12EF2134_1,130.31,70.99,127.16
12EF2135_1,123.41,70.99,135.31
12EF2136_1,98.8,67.04,125.04
12EF2137_1,144.09,75.92,124.72
12EF2138_1,117.51,67.04,120.71
12EF2139_1,98.8,69.01,124.59
12EF2140_1,120.46,70.99,122.47
12EF2141_1,123.41,70.99,121.78
12EF2142_1,119.48,70.99,120.21
12EF2143_1,127.35,69.01,130.18
12EF2144_1,151.96,80.86,130.18
12EF2145_1,95.85,67.04,117.64
12EF2147_1,96.83,67.04,117.01
12EF2148_1,134.24,75.92,108.25
12EF2149_1,94.86,67.04,103.12
12EF2152_1,98.05,67.37,108.94
12EF2153_1,125.62,69.34,112.5
12EF2154_1,101.01,67.37,115.07
12EF2155_1,99.04,67.37,113.29
12EF2156_1,100.02,67.37,117.64
12EF2158_1,98.05,67.37,117.06
12EF2159_1,129.56,71.32,120.21
12EF2160_1,151.22,72.31,121.78
12EF2161_1,140.39,72.31,115.96
12EF2163_1,119.71,67.37,124.59
12EF2164_1,136.45,72.31,124.72
12EF2165_1,154.17,78.23,118.52
12EF2166_1,101.99,67.37,135.31
12EF2167_1,129.56,71.32,122.2
12EF2168_1,146.3,73.29,127.28
12EF2169_1,128.57,72.31,123.56
12EF2170_1,125.62,69.34,123.56
12EF2171_1,123.65,74.28,121.09
12EF2173_1,107.9,67.37,125.85
12EF2174_1,118.73,71.32,127.91
12EF2175_1,134.48,72.31,129.85
12EF2176_1,137.44,71.32,129.85
12EF2179_1,130.54,67.37,132.83
12EF2180_1,137.44,71.32,128.41
12EF2182_1,126.61,72.31,132.05
12EF2183_1,133.5,72.31,128.7
12EF2184_1,134.48,72.31,126.23
12EF2186_1,103.96,67.37,133.59
12EF2187_1,140.39,76.25,130.98
12EF2188_1,126.61,72.31,134.99
12EF2189_1,137.44,72.31,131.27
12EF2190_1,140.39,81.19,128.79
12EF2191_1,154.17,81.19,137.96
12EF2192_1,133.5,71.32,135.62
12EF2193_1,137.44,72.31,137.19
12EF2194_1,129.56,71.32,131.36
12EF2195_1,129.56,71.32,131.36
12EF2196_1,136.45,69.34,136.12
12EF2197_1,147.28,79.22,133.93
12EF2198_1,145.31,79.22,136.5
12EF2199_1,147.28,79.22,142.74
PRE0757_2,204.52,98.9,
12EF1802_2,130.44,80.65,
12EF1803_2,186.55,87.56,168.04
12EF1805_2,158.99,87.56,157.77
12EF1806_2,142.25,82.63,155.58
12EF1808_2,144.22,84.6,161.77
12EF1809_2,199.35,98.42,159.53
12EF1810_2,172.77,90.52,159.53
12EF1811_2,196.4,98.42,159.08
12EF1812_2,130.44,82.63,150.45
12EF1814_2,165.88,84.6,154.39
12EF1815_2,144.22,85.59,153.95
12EF1816_2,149.14,80.65,151.14
12EF1817_2,122.56,84.6,149.56
12EF1819_2,154.06,89.54,149.25
12EF1820_2,128.47,85.59,148.81
12EF1821_2,170.8,80.65,145.22
12EF1822_2,145.2,89.54,146
12EF1823_2,130.44,81.64,140.17
12EF1824_2,149.14,89.54,146.24
12EF1826_2,126.5,74.73,144.12
12EF1827_2,143.23,79.66,143.68
12EF1828_2,120.59,74.73,141.55
12EF1829_2,117.64,78.68,141.11
12EF1830_2,104.84,74.73,138.3
12EF1831_2,146.19,84.6,136.15
12EF1832_2,97.95,68.8,138.54
12EF1833_2,137.33,74.73,135.97
12EF1834_2,118.62,83.61,135.97
12EF1835_2,96.96,70.78,131.59
12EF1836_2,109.76,73.74,131.01
12EF1838_2,108.78,82.63,134.45
12EF1839_2,87.12,73.74,130.96
12EF1840_2,103.85,73.74,127.24
12EF1841_2,127.48,89.54,124.39
12EF1842_2,112.71,78.68,124.67
12EF1843_2,95.98,70.78,123.88
12EF1844_2,110.74,78.68,119.25
12EF1845_2,82.19,66.83,123.13
12EF1846_2,99.91,81.64,121.01
12EF1847_2,82.19,66.83,118.44
12EF1848_2,81.21,66.83,113.3
12EF1849_2,69.39,68.8,101.66
SC0757_2,75.28,66.01,
12EF1852_2,96.51,72.04,106.79
12EF1853_2,85.68,72.04,108.98
12EF1855_2,108.32,84.88,121.01
12EF1857_2,108.32,75.99,117.06
12EF1858_2,124.07,80.93,126.75
12EF1859_2,91.58,71.06,125.88
12EF1861_2,94.54,74.02,132.91
12EF1862_2,132.93,87.84,128.44
12EF1863_2,139.83,84.88,124.77
12EF1864_2,110.29,75.99,133.53
12EF1865_2,131.95,74.02,131.01
12EF1866_2,113.24,72.04,129.52
12EF1868_2,112.26,74.02,135.97
12EF1869_2,126.04,75.01,135.73
12EF1870_2,101.43,71.06,138.54
12EF1871_2,135.89,80.93,138.98
12EF1872_2,121.12,78.96,141.11
12EF1873_2,174.28,77.97,145.24
12EF1875_2,164.44,89.82,144.12
12EF1876_2,144.75,83.89,148.32
12EF1877_2,167.39,89.82,140.17
12EF1880_2,142.78,76.98,145.22
12EF1881_2,184.13,98.7,142.74
12EF1882_2,139.83,72.04,149.25
12EF1883_2,116.2,75.01,151.38
12EF1884_2,174.28,81.92,149.56
12EF1885_2,151.64,86.85,150.35
12EF1886_2,143.76,85.87,152.13
12EF1887_2,192.99,86.85,152.13
12EF1889_2,173.3,89.82,154.7
12EF1890_2,197.91,86.85,159.08
12EF1892_2,165.42,89.82,158.84
12EF1893_2,167.39,89.82,158.05
12EF1894_2,163.45,77.97,159.84
12EF1895_2,162.47,89.82,157.77
12EF1896_2,158.53,79.94,164.34
12EF1897_2,169.36,84.88,163.98
12EF1898_2,156.56,89.82,172.46
12EF1899_2,196.93,90.8,174.61
12EF1905_2,140.23,75.04,157.77
12EF1906_2,176.66,84.91,162.09
12EF1907_2,160.91,76.02,159.26
12EF1908_2,137.28,83.92,160.89
12EF1909_2,135.31,89.85,155.2
12EF1912_2,145.16,87.87,154.7
12EF1913_2,133.34,79.97,150.07
12EF1914_2,136.3,83.92,152.13
12EF1915_2,158.94,82.94,151.55
12EF1917_2,116.61,80.96,151.5
12EF1919_2,132.36,83.92,149.25
12EF1920_2,147.13,84.91,146.42
12EF1921_2,158.94,83.92,145.22
12EF1923_2,187.49,84.91,142.36
12EF1924_2,181.59,92.81,144.43
12EF1926_2,163.86,84.91,139.79
12EF1927_2,140.23,74.05,143.8
12EF1928_2,131.37,75.04,135.04
12EF1929_2,101.84,74.05,141.11
12EF1930_2,163.86,77.01,137.51
12EF1931_2,171.74,83.92,138.66
12EF1932_2,110.7,75.04,134.94
12EF1933_2,112.67,72.08,136.42
12EF1935_2,152.05,83.92,131.59
12EF1936_2,128.42,80.96,133.53
12EF1939_2,107.74,77.01,128.44
12EF1940_2,108.73,75.04,131.37
12EF1941_2,100.85,75.04,130.86
12EF1943_2,96.91,78,125.7
12EF1944_2,96.91,77.01,117.06
12EF1946_2,98.88,74.05,114.5
12EF1947_2,102.82,78.99,118.17
12EF1949_2,83.13,69.11,110.47
12EF1952_2,80.42,67.47,107.39
12EF1953_2,96.17,77.34,106.79
12EF1956_2,110.94,74.38,123.26
12EF1957_2,106.01,72.41,117.06
12EF1958_2,101.09,74.38,125.72
12EF1959_2,108.97,75.37,128.39
12EF1961_2,94.2,71.42,127.24
12EF1963_2,93.22,72.41,130.59
12EF1965_2,106.01,72.41,131.01
12EF1966_2,152.29,87.22,131.01
12EF1968_2,127.67,73.39,136.1
12EF1969_2,106.01,74.38,132.09
12EF1970_2,142.44,84.25,136.15
12EF1971_2,144.41,74.38,136.15
12EF1973_2,122.75,72.41,143.7
12EF1975_2,140.47,90.18,146.26
12EF1977_2,123.74,75.37,144.43
12EF1978_2,175.92,93.14,146.69
12EF1980_2,137.52,71.42,148.81
12EF1981_2,160.16,91.16,146.42
12EF1982_2,136.54,84.25,149.25
12EF1983_2,131.61,72.41,144.93
12EF1984_2,134.57,83.27,153.97
12EF1985_2,128.66,75.37,152.68
12EF1986_2,167.06,79.32,154.07
12EF1987_2,147.37,85.24,152.13
12EF1988_2,155.24,88.2,158.08
12EF1989_2,171.98,91.16,156.64
12EF1991_2,142.44,78.33,159.21
12EF1992_2,148.35,81.29,158.84
12EF1993_2,138.5,91.16,161.77
12EF1994_2,154.26,82.28,159.26
12EF1995_2,152.29,88.2,157.77
12EF1996_2,158.2,86.23,163.46
12EF1997_2,145.4,88.2,164.34
12EF1999_2,202.5,96.1,176.56
PRE0991_4,311.12,137.83,
12EF1604_4,340.21,127.27,220.72
12EF1605_4,284.09,104.57,215.31
12EF1606_4,392.39,128.26,211.64
12EF1610_4,352.03,92.72,206.12
12EF1611_4,344.15,95.68,208.19
12EF1612_4,395.35,124.31,203.93
12EF1617_4,166.93,69.02,198.8
12EF1619_4,166.93,69.02,199.91
12EF1620_4,366.79,115.43,202.42
12EF1621_4,366.79,92.72,202.74
12EF1622_4,336.27,94.69,197.34
12EF1624_4,362.86,113.45,207.88
12EF1625_4,288.03,81.86,197.29
12EF1626_4,275.23,100.62,197.61
12EF1627_4,323.47,120.36,191
12EF1628_4,249.63,108.51,194.72
12EF1629_4,199.42,82.85,194.35
12EF1630_4,257.51,94.69,188.43
12EF1632_4,215.17,86.79,185.96
12EF1636_4,229.94,106.54,183.3
12EF1637_4,259.48,97.65,185.08
12EF1641_4,341.2,127.27,189.91
12EF1642_4,301.81,108.51,176.74
12EF1644_4,194.5,98.64,171.24
12EF1647_4,167.92,98.64,174.5
12EF1649_4,299.85,97.65,143.26
SC0991_4,86.75,66.06,
12EF1654_4,192.07,97.93,171.93
12EF1656_4,151.71,69.3,165.04
12EF1658_4,307.27,119.65,184.77
12EF1659_4,295.45,93.98,178.94
12EF1660_4,141.86,69.3,179.31
12EF1661_4,356.49,110.77,184.34
12EF1668_4,206.84,82.14,187.07
12EF1669_4,266.9,112.74,192.47
12EF1671_4,347.63,125.58,202.75
12EF1672_4,161.55,75.22,188.53
12EF1675_4,290.53,98.92,197.61
12EF1677_4,252.13,89.05,194.77
12EF1678_4,343.69,105.83,193.57
12EF1679_4,308.25,96.95,196.13
12EF1680_4,304.31,94.97,199.73
12EF1681_4,344.68,98.92,202.42
12EF1682_4,382.09,94.97,199.91
12EF1683_4,338.77,94.97,202.3
12EF1688_4,401.78,113.73,218.16
12EF1689_4,335.82,111.75,210.45
12EF1691_4,271.82,91.02,206.41
12EF1693_4,304.31,94.97,210.18
12EF1694_4,287.57,93,215.58
12EF1695_4,303.33,113.73,215.14
12EF1696_4,317.11,113.73,215.31
12EF1698_4,325.97,119.65,216.39
12EF1702_4,233.83,95.99,
12EF1705_4,388.41,124.62,215.89
12EF1708_4,264.36,100.93,206.5
12EF1710_4,282.08,115.74,207.61
12EF1711_4,365.76,122.65,206.12
12EF1712_4,355.92,98.95,207.44
12EF1713_4,208.24,91.05,205.04
12EF1714_4,386.44,128.57,207.56
12EF1715_4,380.53,117.71,207.88
12EF1717_4,358.87,93.03,200.99
12EF1719_4,345.09,95,198.7
12EF1722_4,265.34,102.9,210.45
12EF1723_4,269.28,99.94,195.85
12EF1726_4,192.48,78.22,197.61
12EF1727_4,230.88,96.98,194.72
12EF1730_4,259.43,128.57,194.62
12EF1731_4,248.6,120.67,185.96
12EF1732_4,204.3,115.74,189.46
12EF1733_4,173.78,69.33,185.86
12EF1734_4,216.11,100.93,185.58
12EF1736_4,255.49,111.79,197.61
12EF1738_4,309.64,106.85,195.04
12EF1740_4,255.49,107.84,184.34
12EF1741_4,253.53,87.1,178.94
12EF1743_4,246.63,94.02,184.77
12EF1744_4,239.74,108.82,172.24
12EF1745_4,274.2,95.99,174.07
12EF1746_4,166.89,94.02,168.67
12EF1748_4,135.38,91.05,151.06
12EF1753_4,136.6,67.69,144.49
12EF1754_4,166.14,105.21,162.85
12EF1756_4,179.92,87.43,168.67
12EF1759_4,211.43,112.12,173.02
12EF1761_4,227.18,109.16,182.2
12EF1762_4,255.73,93.36,177.87
12EF1764_4,153.34,67.69,184.32
12EF1766_4,212.41,102.24,187.64
