samp_ID,yield,maturity,height,lodging,protein,oil,size
DS11.02002_1,3597.377191,928.3183726,100.7691431,1.951865312,34.11934001,19.23970254,15.5516059
DS11.02003_1,3431.40324,923.9167987,96.68182359,1.74679029,33.20293075,19.91984795,14.93443506
DS11.02004_1,3737.945002,928.6906734,106.993016,1.869835303,34.50595017,19.1187878,15.65697653
DS11.02005_1,3833.923754,929.3421997,102.534122,2.156940335,33.76136764,19.49664636,17.01174178
DS11.02006_1,3623.296587,926.1776433,97.88944073,2.074910326,32.42971043,19.70824716,15.67202948
DS11.02007_1,3774.45029,926.4568688,100.0259941,1.541715268,33.26020633,19.69313281,16.03330021
DS11.02008_1,3805.823023,929.4352749,105.4138244,1.828820299,34.46299349,19.13390215,16.10856495
DS11.02014_1,3375.009307,926.0719707,89.99348254,1.500700263,34.01910775,19.01298741,15.16022927
DS11.02016_1,3666.794978,929.0629741,102.6270156,1.869835303,34.73505249,18.87695833,15.807506
DS11.02017_1,3505.247854,923.9438387,98.44680248,1.459685259,34.59186354,18.84672964,15.59676474
DS11.02019_1,3713.565373,926.6877341,104.8564627,1.664760281,34.4343557,19.58733242,16.62036515
DS11.02021_1,3669.746197,926.7360944,104.763569,1.787805294,34.11934001,19.25481689,15.68708242
DS11.02022_1,3653.514496,926.549944,93.98790845,1.541715268,34.11934001,19.55710373,17.10205946
DS11.02023_1,3818.141152,925.8053425,102.9985901,2.11592533,33.8902377,18.86184398,13.76030518
DS11.02024_1,3546.179969,925.9693434,97.7965471,1.582730272,35.00711149,19.26993123,15.02475274
DS11.02025_1,3438.396344,928.3297699,105.506718,2.362015357,34.31980454,19.01298741,15.10001748
DS11.02026_1,3779.967785,928.3183726,105.4138244,1.828820299,32.75904501,19.69313281,14.9795939
DS11.02027_1,3777.78645,929.6214253,102.534122,1.968271314,33.54658422,19.73847584,17.25258894
DS11.02029_1,3631.380359,923.3853876,97.4249726,1.459685259,33.94751328,19.58733242,16.21393558
DS11.02030_1,3588.331065,920.5931319,99.46863236,1.582730272,33.90455659,19.39084597,15.14517632
DS11.02031_1,3586.14973,924.2230643,93.43054669,1.500700263,34.21957228,19.10367346,16.77089463
DS11.02032_1,3464.828995,922.082335,94.73105745,1.459685259,34.26252896,19.75359018,16.65047105
DS11.02033_1,3667.757332,924.7815154,95.47420646,1.459685259,32.97382843,20.17679177,15.35591758
DS11.02035_1,3567.60838,923.7115442,93.89501482,1.541715268,34.1479778,19.67801847,16.16877674
DS11.02036_1,3464.50821,928.5975982,104.1133136,2.009286318,32.80200169,19.43618899,14.6935879
DS11.02037_1,3550.478483,928.3183726,104.02042,1.992880317,33.26020633,19.66290413,16.84615936
DS11.02038_1,3641.77378,926.2707185,103.8346328,1.910850308,34.83528475,18.78627227,16.81605347
DS11.02039_1,3899.556283,928.8429061,103.277271,1.992880317,34.1479778,19.14901649,15.8376119
DS11.02040_1,3886.789056,928.8429061,105.506718,1.992880317,34.4200368,19.04321609,15.67202948
DS11.02042_1,3594.746757,922.6407861,91.47978055,1.582730272,33.36043859,19.28504557,15.76234716
DS11.02043_1,3772.140641,925.8053425,99.00416423,1.869835303,34.01910775,19.57221808,15.2655999
DS11.02044_1,3807.940202,925.764089,102.9985901,1.705775285,33.43203306,20.16167743,17.88481272
DS11.02045_1,3894.465115,930.5584203,110.313089,1.702392069,34.33412343,19.01298741,15.35591758
DS11.02046_1,3924.33772,930.6727845,110.8835396,1.986966358,34.60618244,18.7258149,16.24404147
DS11.02047_1,3734.456003,929.0716869,98.44771711,1.722017882,33.71841096,19.10367346,16.43972979
DS11.02049_1,3949.522868,927.3562252,94.22638287,1.437443593,34.1622967,19.16413083,17.37301252
DS11.02051_1,3978.442092,929.5707014,96.73636539,1.918276012,33.41771417,19.34550294,17.28269483
DS11.02053_1,3923.781581,930.8620235,108.7158274,1.937901825,34.36276122,18.99787307,15.807506
DS11.02054_1,3536.232203,932.273882,109.4003681,2.771998879,33.90455659,18.90718701,16.93647704
DS11.02055_1,3980.03106,929.312437,109.4003681,2.016405078,34.53458796,18.84672964,15.82255895
DS11.02056_1,3950.237904,929.8912246,104.9508536,1.83977276,34.29116675,19.1187878,15.74729421
DS11.02057_1,3519.786381,929.0716869,103.6958624,2.163598675,33.13133627,19.87450492,15.95803547
DS11.02059_1,3728.974063,924.3827583,102.5549612,1.751456602,34.26252896,19.54198939,16.84615936
DS11.02060_1,3953.574737,929.958098,107.6890164,1.957527638,34.52026907,18.8316153,15.91287663
DS11.02061_1,3721.426463,929.8722357,102.2126909,1.535572659,33.03110401,19.88961926,14.85917032
DS11.02063_1,3979.236576,930.3454946,99.81679848,1.820146947,32.81632059,19.48153202,16.53004747
DS11.02064_1,3630.299129,928.3416382,101.8704205,2.242101927,35.78033181,18.63512885,16.68057694
DS11.02065_1,3903.76058,928.666776,91.37413001,1.358940341,34.00478885,19.48153202,16.74078873
DS11.02066_1,3712.52824,927.2418611,115.9035046,1.947714732,33.54658422,19.17924517,15.10001748
DS11.02067_1,3986.307485,930.2163624,109.8567286,2.114534143,34.39139901,18.71070056,15.73224127
DS11.02068_1,4007.679109,932.1595179,112.5948913,2.036030891,34.83528475,18.42352806,16.04835316
DS11.02069_1,3957.626606,929.8289658,96.8504555,2.163598675,33.94751328,19.6175611,16.83110641
DS11.02070_1,3850.371244,932.1595179,107.6890164,2.036030891,33.84728101,18.57467148,15.29570579
DS11.02071_1,3623.625462,927.9280458,98.56180722,2.06546961,33.0454229,20.20702045,15.98814137
DS11.02072_1,3880.958884,930.3454946,108.9440076,1.937901825,34.54890686,18.81650096,15.58171179
DS11.02073_1,3988.214247,929.5291433,108.0312867,2.085095423,34.52026907,18.92230135,15.67202948
DS11.02074_1,3961.678476,930.3296921,108.259467,2.016405078,34.6920958,18.80138662,15.97308842
DS11.02075_1,3990.121009,930.4746268,113.9639727,2.06546961,34.09070222,19.1187878,15.77740011
DS11.02076_1,3958.421091,930.585754,111.5680803,2.016405078,34.6920958,18.77115793,15.74729421
DS11.02078_1,3889.777658,928.9250404,98.44771711,1.751456602,33.3318008,19.30015991,15.46128821
DS11.02079_1,4064.008037,929.8722357,110.4271791,2.114534143,34.56322575,18.60490016,15.79245305
DS11.02080_1,3794.598455,932.5026102,113.3935221,1.967340545,34.62050133,18.78627227,15.02475274
DS11.02081_1,4052.090774,932.086472,109.0580978,1.820146947,34.83528475,18.74092925,15.91287663
DS11.02083_1,3935.460498,930.4440562,110.1989989,1.986966358,34.20525338,18.98275872,15.71718832
DS11.02084_1,3843.300335,923.1140914,98.67589734,1.918276012,33.53226533,19.49664636,17.19237715
DS11.02086_1,3892.637801,927.3562252,91.14594978,1.339314528,33.8759188,19.98030532,18.23103051
DS11.02089_1,4052.329119,927.8919828,96.50818516,1.633701724,34.36276122,18.65024319,16.49994157
DS11.02091_1,3514.513268,929.8878055,103.0835691,1.908776385,33.28409271,19.88666407,14.57995071
DS11.02093_1,3608.687294,929.0455032,112.5440256,2.458182618,32.88279083,19.36675956,15.69986383
DS11.02094_1,3600.658415,928.8972233,102.1966513,1.88435833,34.16695686,19.19345806,15.24759122
DS11.02095_1,3765.203203,928.6006635,96.72732494,1.664595837,32.06012196,20.31991783,15.41988555
DS11.02096_1,3728.459275,929.6386229,103.0835691,2.055284714,34.30741252,19.08514462,15.46295913
DS11.02098_1,3719.674737,928.6006635,95.10130899,1.627968755,33.62519931,19.23678343,16.15213643
DS11.02099_1,3315.491529,927.4144242,93.62311267,1.786686111,33.88604554,19.21512074,13.93384699
DS11.02102_1,3782.392599,929.5396162,105.2195222,1.806597258,34.34754271,18.89018042,15.31220159
DS11.02107_1,3881.039478,928.7377632,104.5756073,1.937164586,34.46793327,18.9335058,15.37681197
DS11.02108_1,3836.937505,925.6385904,98.13645835,1.697791152,33.80578516,19.475073,16.75516657
DS11.02113_1,3754.947536,924.96114,89.25043277,1.534581992,34.12682667,18.97683118,14.3645828
DS11.02115_1,3861.793412,926.1551192,94.01540301,1.567223824,34.94949553,18.95516849,16.64748262
