Breeding line,Yield
MASBC10038S_1001U_1,3.26
MASBC10056S_3001_1,3.71
MASBC10056S_3003_1,4.97
MASBC10056S_3004U_1,3.78
MASBC10056S_3005_1,2.59
MASBC10056S_3006_1,3.34
MASBC10056S_3007_1,3.71
MASBC10056S_3008_1,3.85
MASBC10063S_5001U_1,4.3
MASBC10063S_5003U_1,4.3
MASBC10063S_5004_1,3.71
MASBC10063S_5005U_1,3.26
MASBC10063S_5006U_1,3.56
MASBC10063S_5007U_1,4.15
MASBC10063S_5008U_1,4.6
MASBC10063S_5009U_1,4.74
MASBC10065S_3001_1,4.67
MASBC10066S_4001U_1,3.85
SWW11019B001U_1,3.48
SWW11035B001_1,2.37
SWW11035B003_1,2.45
SWW11035B004_1,3.26
SWW11036B001_1,3.19
SWW11041B001U_1,3.71
SWW11041B003_1,3.34
SWW11041B004U_1,2.59
SWW11049B001_1,2
SWW11058B001E_1,4.3
SWW11058B003_1,2
SWW11061B001U_1,2.59
SWW11081B001_1,2.89
SWW11085B001_1,2.67
SWW11085B003E_1,4.23
SWW11085B004_1,5.04
SWW11085B005_1,3.26
SWW11088B001_1,2.59
SWW11091B001_1,3.78
SWW11091B003E_1,3.93
SWW11103B001R_1,4.3
SWW11108B001_1,2.97
SWW11108B003_1,4
SWW11110B001_1,3.19
SWW11144B001_1,2.89
SWW11163B001_1,2.52
SWW11181B001U_1,4.67
SWW11183B001_1,2.82
SWW11183B003U_1,3.56
SWW11190B001E_1,4
SWW11307B001_1,3.41
SWW11316B001E_1,4.15
SWW11317B001U_1,4.6
SWW11317B003_1,4.6
SWW11317B004U_1,3.63
SWW11317B005U_1,3.78
SWW11317B006_1,4.15
SWW11317B007U_1,4.45
SWW11317B008U_1,3.41
SWW11318B001_1,2.97
SWW11318B003_1,1.19
SWW11333B001U_1,4.52
SWW11348B001U_1,4.89
SWW14007DH1_2,2.96
SWW14007DH10_2,5.92
SWW14007DH13_2,4.71
SWW14007DH15_2,5.85
SWW14007DH16_2,5.18
SWW14007DH17_2,4.51
SWW14007DH18_2,6.32
SWW14007DH19_2,4.98
SWW14007DH2_2,4.77
SWW14007DH20_2,3.97
SWW14007DH21_2,4.1
SWW14007DH22_2,3.5
SWW14007DH23_2,5.38
SWW14007DH24_2,4.17
SWW14007DH25_2,3.03
SWW14007DH26_2,3.77
SWW14007DH27_2,4.37
SWW14007DH28_2,2.62
SWW14007DH29_2,5.25
SWW14007DH3_2,4.84
SWW14007DH30_2,5.25
SWW14007DH31_2,4.77
SWW14007DH32_2,3.9
SWW14007DH33_2,5.11
SWW14007DH34_2,3.97
SWW14007DH35_2,5.92
SWW14007DH36_2,5.25
SWW14007DH37_2,3.23
SWW14007DH38_2,4.71
SWW14007DH39_2,3.63
SWW14007DH4_2,4.17
SWW14007DH40_2,6.19
SWW14007DH41_2,4.77
SWW14007DH5_2,4.71
SWW14007DH6_2,4.51
SWW14007DH7_2,5.11
SWW14007DH8_2,5.11
SWW14007DH9_2,5.18
SWW14008DH1_2,6.52
SWW14008DH10_2,5.58
SWW14008DH2_2,5.85
SWW14008DH3_2,6.32
SWW14008DH4_2,6.32
SWW14008DH5_2,5.25
SWW14008DH6_2,5.92
SWW14008DH7_2,4.84
SWW14008DH8_2,5.92
SWW14008DH9_2,5.65
SWW14019DH1_2,3.77
SWW14019DH2_2,4.77
SWW14046DH1_2,6.46
SWW14046DH10_2,5.92
SWW14046DH11_2,5.99
SWW14046DH12_2,5.31
SWW14046DH14_2,6.12
SWW14046DH15_2,6.05
SWW14046DH16_2,5.78
SWW14046DH17_2,6.66
SWW14046DH2_2,5.99
SWW14046DH3_2,5.31
SWW14046DH4_2,6.19
SWW14046DH5_2,5.99
SWW14046DH6_2,5.72
SWW14046DH8_2,5.04
SWW14046DH9_2,6.66
SWW14062DH1_2,6.93
SWW14062DH10_2,4.04
SWW14062DH11_2,3.63
SWW14062DH12_2,4.24
SWW14062DH13_2,2.49
SWW14062DH14_2,2.15
SWW14062DH15_2,3.3
SWW14062DH16_2,1.75
SWW14062DH17_2,2.42
SWW14062DH18_2,3.5
SWW14062DH19_2,3.83
SWW14062DH2_2,5.65
SWW14062DH20_2,4.77
SWW14062DH21_2,5.45
SWW14062DH22_2,5.85
SWW14062DH23_2,5.99
